StateCode,BeachID,BeachName,StationID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-07-16 00:00:00,00:00:00,,100_20070716_43581,Enterococcus,10,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2009-08-24 08:20:00,00:00:00,,46258,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2008-07-14 08:20:00,00:00:00,,44779,Enterococcus,10,cfu/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2010-08-16 10:10:00,00:00:00,,47377,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2010-07-14 11:30:00,00:00:00,,47130,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2009-06-29 08:20:00,00:00:00,,45901,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-07-23 00:00:00,00:00:00,,100_20070723_43613,Enterococcus,10,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-07-30 00:00:00,00:00:00,,100_20070730_43640,Enterococcus,10,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2006-06-26 00:00:00,00:00:00,,100_20060626_42217,Enterococcus,10,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2009-07-13 08:20:00,00:00:00,,45991,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2006-06-27 00:00:00,00:00:00,,100_20060627_42232,Enterococcus,10,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2011-06-06 10:11:00,00:00:00,,48104,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2012-07-23 11:30:00,00:00:00,,49769,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2014-08-12 08:25:00,00:00:00,,51264,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2014-08-19 08:40:00,00:00:00,,51330,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2014-09-03 09:00:00,00:00:00,,51448,Enterococcus,10,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-06-04 00:00:00,00:00:00,,100_20070604_43308,Enterococcus,20,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-06-18 00:00:00,00:00:00,,100_20070618_43407,Enterococcus,20,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2008-06-16 08:20:00,00:00:00,,44596,Enterococcus,20,cfu/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2011-07-25 10:55:00,00:00:00,,48415,Enterococcus,20,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2011-08-15 10:45:00,00:00:00,,48635,Enterococcus,20,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2010-08-23 09:40:00,00:00:00,,47426,Enterococcus,42,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2010-08-31 09:30:00,00:00:00,,47460,Enterococcus,42,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2010-09-07 09:40:00,00:00:00,,47479,Enterococcus,42,MPN/100ml,,,,ASTM~D6503,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2007-07-02 00:00:00,00:00:00,,100_20070702_43491,Enterococcus,42,cfu/100ml,,,,1CTDPHBM_WQX~-,,,,
